tissue,tissue.short,tissue.abb
branchial arch,branchial-arch,ba
hindbrain (rhombencephalon),hindbrain,hb
eye,eye,eye
forebrain,forebrain,fb
neural tube,neural-tube,nt
midbrain (mesencephalon),midbrain,mb
nose,nose,nose
mesenchyme derived from neural crest,crest-mesen,mnc
limb,limb,lb
cranial nerve,cranial-nerve,cn
dorsal root ganglion,drg,drg
heart,heart,ht
"trigeminal V (ganglion, cranial)",trigeminal,tri
somite,somite,som
genital tubercle,genital,gen
melanocytes,melanocytes,mel
tail,tail,tail
facial mesenchyme,face-mesen,fm
other,other,other
ear,ear,ear
liver,liver,lv
blood vessels,blood-vessels,bv
pancreas,pancreas,pan
